Processing file: /Users/adityamagarde/Documents/UCR/CS240_NR/AnamolyDetection/scripts/data_proc/final_csvs/type1_labelwise_nans_avg_labelled_merged.csv
Row numbers with NaN values: []
Initial check for NaN values: False
Initial check for Infinite values: False
After scaling, NaN values in X: False
After scaling, Infinite values in X: False
Epoch 139: {'accuracy': 0.9638590216636658, 'loss': 0.09995416551828384, 'val_accuracy': 0.916077196598053, 'val_loss': 0.24476097524166107}
Epoch 140: {'accuracy': 0.9645954966545105, 'loss': 0.09918656200170517, 'val_accuracy': 0.9196141362190247, 'val_loss': 0.22268657386302948}
Epoch 141: {'accuracy': 0.9618405699729919, 'loss': 0.10824594646692276, 'val_accuracy': 0.921864926815033, 'val_loss': 0.22142069041728973}
Epoch 142: {'accuracy': 0.9647318720817566, 'loss': 0.09952063858509064, 'val_accuracy': 0.9176849126815796, 'val_loss': 0.24923646450042725}
Epoch 143: {'accuracy': 0.9637771844863892, 'loss': 0.09929116070270538, 'val_accuracy': 0.921864926815033, 'val_loss': 0.2183181643486023}
Epoch 144: {'accuracy': 0.9636135697364807, 'loss': 0.10126954317092896, 'val_accuracy': 0.9228295683860779, 'val_loss': 0.23166778683662415}
Epoch 145: {'accuracy': 0.9657410979270935, 'loss': 0.0978085920214653, 'val_accuracy': 0.9266880750656128, 'val_loss': 0.21462009847164154}
Epoch 146: {'accuracy': 0.9662865996360779, 'loss': 0.09537900239229202, 'val_accuracy': 0.9228295683860779, 'val_loss': 0.2146230787038803}
Epoch 147: {'accuracy': 0.9649773836135864, 'loss': 0.09871312230825424, 'val_accuracy': 0.921864926815033, 'val_loss': 0.20971789956092834}
Epoch 148: {'accuracy': 0.966422975063324, 'loss': 0.09641189873218536, 'val_accuracy': 0.9315112829208374, 'val_loss': 0.19579249620437622}
Epoch 149: {'accuracy': 0.9651137590408325, 'loss': 0.09715747088193893, 'val_accuracy': 0.9266880750656128, 'val_loss': 0.20701192319393158}
Epoch 150: {'accuracy': 0.9669685363769531, 'loss': 0.0927707850933075, 'val_accuracy': 0.9260450005531311, 'val_loss': 0.20671264827251434}
Accuracy: 0.9199614271938283
Precision: 0.8335260115606936
Recall: 0.8728813559322034
F1 Score: 0.8527498521584861
Confusion Matrix:
[[2141  144]
 [ 105  721]]
Average Precision-Recall Score: 0.9222733872547783
Matthews Correlation Coefficient: 0.7982354971139293
Cohen’s Kappa: 0.7978352286087635
Sensitivity (Recall): 0.8728813559322034
Specificity: 0.936980306345733
Log Loss: 0.22680935227349752
Brier Score: 0.06042884153663377
G-Mean: 0.9043631130717543
Critical Success Index (CSI): 0.743298969072165
F-beta Score (beta=2): 0.8647157591748621


