Processing file: /Users/adityamagarde/Documents/UCR/CS240_NR/AnamolyDetection/scripts/data_proc/final_csvs/type1_labelwise_nans_avg_labelled_merged.csv
Row numbers with NaN values: []
Initial check for NaN values: False
Initial check for Infinite values: False
After scaling, NaN values in X: False
After scaling, Infinite values in X: False
Epoch 147: {'accuracy': 0.8564999103546143, 'loss': 0.3219986855983734, 'val_accuracy': 0.8054662346839905, 'val_loss': 0.3684866428375244}
Epoch 148: {'accuracy': 0.8576728105545044, 'loss': 0.3221679925918579, 'val_accuracy': 0.7897105813026428, 'val_loss': 0.4089066684246063}
Epoch 149: {'accuracy': 0.856336236000061, 'loss': 0.32172253727912903, 'val_accuracy': 0.8131833076477051, 'val_loss': 0.3703969120979309}
Epoch 150: {'accuracy': 0.858627438545227, 'loss': 0.32228049635887146, 'val_accuracy': 0.8077170252799988, 'val_loss': 0.37674790620803833}
Accuracy: 0.7997428479588556
Precision: 0.5881841876629018
Recall: 0.8196125907990315
F1 Score: 0.6848760748609004
Confusion Matrix:
[[1811  474]
 [ 149  677]]
Average Precision-Recall Score: 0.7218874315330543
Matthews Correlation Coefficient: 0.55993992308675
Cohen’s Kappa: 0.5438561353920162
Sensitivity (Recall): 0.8196125907990315
Specificity: 0.7925601750547046
Log Loss: 0.3803468741056319
Brier Score: 0.12909314949102854
G-Mean: 0.8059728893956175
Critical Success Index (CSI): 0.5207692307692308
F-beta Score (beta=2): 0.7598204264870931


